,attraction_name,date,forecast
242,[Far Far Away] Magic Potion Spin,10/26/2024,8.618062275
243,[Far Far Away] Magic Potion Spin,10/27/2024,5.483483658
244,[Far Far Away] Magic Potion Spin,10/28/2024,7.190141874
245,[Far Far Away] Magic Potion Spin,10/29/2024,6.158772331
246,[Far Far Away] Magic Potion Spin,10/30/2024,6.105667315
247,[Far Far Away] Magic Potion Spin,10/31/2024,5.268519207
248,[Far Far Away] Magic Potion Spin,11/1/2024,6.630443463
249,[Far Far Away] Magic Potion Spin,11/2/2024,8.301397068
250,[Far Far Away] Magic Potion Spin,11/3/2024,5.277938822
251,[Far Far Away] Magic Potion Spin,11/4/2024,6.918694121
252,[Far Far Away] Puss In Boots Giant Journey,10/22/2024,0
253,[Far Far Away] Puss In Boots Giant Journey,10/23/2024,0
254,[Far Far Away] Puss In Boots Giant Journey,10/24/2024,0
255,[Far Far Away] Puss In Boots Giant Journey,10/25/2024,0
256,[Far Far Away] Puss In Boots Giant Journey,10/26/2024,0
257,[Far Far Away] Puss In Boots Giant Journey,10/27/2024,0
258,[Far Far Away] Puss In Boots Giant Journey,10/28/2024,0
259,[Far Far Away] Puss In Boots Giant Journey,10/29/2024,0
260,[Far Far Away] Puss In Boots Giant Journey,10/30/2024,0
261,[Far Far Away] Puss In Boots Giant Journey,10/31/2024,0
262,[Far Far Away] Puss In Boots Giant Journey,11/1/2024,0
263,[Far Far Away] Puss In Boots Giant Journey,11/2/2024,0
264,[Far Far Away] Puss In Boots Giant Journey,11/3/2024,0
265,[Far Far Away] Puss In Boots Giant Journey,11/4/2024,0
266,[Far Far Away] Donkey Live,10/22/2024,4.675509562
267,[Far Far Away] Donkey Live,10/23/2024,4.8452935
268,[Far Far Away] Donkey Live,10/24/2024,5.516840921
269,[Far Far Away] Donkey Live,10/25/2024,5.378414481
270,[Far Far Away] Donkey Live,10/26/2024,6.748304167
271,[Far Far Away] Donkey Live,10/27/2024,4.293664447
272,[Far Far Away] Donkey Live,10/28/2024,5.63003154
273,[Far Far Away] Donkey Live,10/29/2024,4.822462497
274,[Far Far Away] Donkey Live,10/30/2024,4.780939
275,[Far Far Away] Donkey Live,10/31/2024,4.125272102
276,[Far Far Away] Donkey Live,11/1/2024,5.191865305
277,[Far Far Away] Donkey Live,11/2/2024,6.500442149
278,[Far Far Away] Donkey Live,11/3/2024,4.132777531
279,[Far Far Away] Donkey Live,11/4/2024,5.417555676
280,[Far Far Away] Shrek 4-D Adventure,10/22/2024,17.59222128
281,[Far Far Away] Shrek 4-D Adventure,10/23/2024,18.23063328
282,[Far Far Away] Shrek 4-D Adventure,10/24/2024,20.75707398
283,[Far Far Away] Shrek 4-D Adventure,10/25/2024,20.23618348
284,[Far Far Away] Shrek 4-D Adventure,10/26/2024,25.38993004
285,[Far Far Away] Shrek 4-D Adventure,10/27/2024,16.15483679
286,[Far Far Away] Shrek 4-D Adventure,10/28/2024,21.18284177
287,[Far Far Away] Shrek 4-D Adventure,10/29/2024,18.14431187
288,[Far Far Away] Shrek 4-D Adventure,10/30/2024,17.98792683
289,[Far Far Away] Shrek 4-D Adventure,10/31/2024,15.5217006
290,[Far Far Away] Shrek 4-D Adventure,11/1/2024,19.53395597
291,[Far Far Away] Shrek 4-D Adventure,11/2/2024,24.45700122
292,[Far Far Away] Shrek 4-D Adventure,11/3/2024,15.54928431
293,[Far Far Away] Shrek 4-D Adventure,11/4/2024,20.38313003
294,[Far Far Away] Happily Ever After,10/22/2024,11.44302916
295,[Far Far Away] Happily Ever After,10/23/2024,11.85829235
296,[Far Far Away] Happily Ever After,10/24/2024,13.50163956
297,[Far Far Away] Happily Ever After,10/25/2024,13.16282989
